post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"5747d334419fb","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441b09","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441bf7","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441ce3","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441dcc","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441eb6","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33441fa0","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d3344209b","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442187","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442272","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d3344235d","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d3344244b","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442539","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442626","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442713","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442800","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d334428ee","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d334429de","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442acb","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442bb9","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442ca7","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442d95","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442e82","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33442f71","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33443070","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d33443121","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d3344320f","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d334432fd","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d334433ea","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747d334434d7","","publish","","","","Store Credit / Gift Certificate","130","no","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
